FID,knooppuntnummer,regio,provincie,puntid,last_edited_date,soort_knooppunt,wkb_geometry
wandelknooppunten_vrij_wgs84.1,57,Lunteren,Gelderland,162757,2019-11-19T10:01:56,keuzepunt,POINT (5.644499622000069 52.07450139800005)
wandelknooppunten_vrij_wgs84.2,53,Lunteren,Gelderland,162756,2019-11-19T10:01:56,keuzepunt,POINT (5.665031868000028 52.082925902000056)
wandelknooppunten_vrij_wgs84.3,22,Lunteren,Gelderland,162755,2019-11-19T10:01:56,keuzepunt,POINT (5.647499599000071 52.09876517300006)
wandelknooppunten_vrij_wgs84.4,26,Lunteren,Gelderland,162754,2019-11-19T10:01:56,keuzepunt,POINT (5.650776962000066 52.09501276700007)
wandelknooppunten_vrij_wgs84.5,52,Lunteren,Gelderland,162753,2019-11-19T10:01:56,keuzepunt,POINT (5.666616759000021 52.09288111800004)
wandelknooppunten_vrij_wgs84.6,54,Lunteren,Gelderland,162752,2019-11-19T10:01:56,keuzepunt,POINT (5.657548034000058 52.08852361700008)
wandelknooppunten_vrij_wgs84.7,41,Lunteren,Gelderland,162751,2019-11-19T10:01:56,keuzepunt,POINT (5.699007642000026 52.09576582200003)
wandelknooppunten_vrij_wgs84.8,24,Lunteren,Gelderland,162750,2019-11-19T10:01:56,keuzepunt,POINT (5.651377896000042 52.09641255100007)
wandelknooppunten_vrij_wgs84.9,46,Lunteren,Gelderland,162749,2019-11-19T10:01:56,keuzepunt,POINT (5.643062187000055 52.106360693000056)
wandelknooppunten_vrij_wgs84.10,47,Lunteren,Gelderland,162748,2019-11-19T10:01:56,keuzepunt,POINT (5.68111189800004 52.11208277000003)
wandelknooppunten_vrij_wgs84.11,42,Lunteren,Gelderland,162747,2019-11-19T10:01:56,keuzepunt,POINT (5.697263287000055 52.09396583400007)
wandelknooppunten_vrij_wgs84.12,44,Lunteren,Gelderland,162746,2019-11-19T10:01:56,keuzepunt,POINT (5.693024209000043 52.09287159400003)
wandelknooppunten_vrij_wgs84.13,33,Lunteren,Gelderland,162745,2019-11-19T10:01:56,keuzepunt,POINT (5.661200088000044 52.09686308600004)
wandelknooppunten_vrij_wgs84.14,45,Lunteren,Gelderland,162744,2019-11-19T10:01:56,keuzepunt,POINT (5.6749089010000375 52.09818730000006)
wandelknooppunten_vrij_wgs84.15,51,Lunteren,Gelderland,162743,2019-11-19T10:01:56,keuzepunt,POINT (5.671700337000061 52.09778358600005)
wandelknooppunten_vrij_wgs84.16,49,Lunteren,Gelderland,162742,2019-11-19T10:01:56,keuzepunt,POINT (5.674248283000054 52.09502467200008)
wandelknooppunten_vrij_wgs84.17,48,Lunteren,Gelderland,162741,2019-11-19T10:01:56,keuzepunt,POINT (5.679431502000057 52.087527082000065)
wandelknooppunten_vrij_wgs84.18,12,Lunteren,Gelderland,162740,2019-11-19T10:01:56,keuzepunt,POINT (5.648845005000055 52.08824672900005)
wandelknooppunten_vrij_wgs84.19,18,Lunteren,Gelderland,162739,2019-11-19T10:01:56,keuzepunt,POINT (5.642969117000064 52.099254880000046)
wandelknooppunten_vrij_wgs84.20,16,Lunteren,Gelderland,162738,2019-11-19T10:01:56,keuzepunt,POINT (5.63194031200004 52.090962740000066)
wandelknooppunten_vrij_wgs84.21,5,Lunteren,Gelderland,162737,2019-11-19T10:01:56,keuzepunt,POINT (5.6322895800000765 52.08986783600005)
wandelknooppunten_vrij_wgs84.22,4,Lunteren,Gelderland,162736,2019-11-19T10:01:56,keuzepunt,POINT (5.630932632000054 52.088427341000056)
wandelknooppunten_vrij_wgs84.23,11,Lunteren,Gelderland,162735,2019-11-19T10:01:56,keuzepunt,POINT (5.635975052000049 52.08414275900003)
wandelknooppunten_vrij_wgs84.24,14,Lunteren,Gelderland,162734,2019-11-19T10:01:56,keuzepunt,POINT (5.656631044000051 52.08002298100007)
wandelknooppunten_vrij_wgs84.25,15,Lunteren,Gelderland,162733,2019-11-19T10:01:56,keuzepunt,POINT (5.649450586000057 52.077058339000075)
wandelknooppunten_vrij_wgs84.26,3,Lunteren,Gelderland,162732,2019-11-19T10:01:56,keuzepunt,POINT (5.626896067000075 52.085103211000046)
